codice;nome;comune;prov;area;quota_m;lat;lon;pos_approssimata
TOS01005115;Molino d�Era;Volterra;PI;Pisano;101;43.45563;10.83013;no
TOS11000020;Monte Serra;Calci;PI;Pisano;890;43.74707;10.55446;no
TOS01002131;Montecatini V. Cecina;Montecatini Val di Cecina;PI;Pisano;379;43.38698;10.74297;no
TOS11000046;Montopoli;Montopoli in Val d'Arno;PI;Pisano;29;43.66784;10.74572;no
TOS01001711;Orciatico;Lajatico;PI;Pisano;312;43.43445;10.72475;no
TOS01001889;Orentano;Castelfranco di Sotto;PI;Pisano;22;43.77442;10.65708;no
TOS01000544;Pisa (Fac. Agraria);Pisa;PI;Pisano;6;43.71117;10.412;no
TOS01002115;Ponsano;Volterra;PI;Pisano;340;43.36531;10.99035;no
TOS01005386;Ponte SR439;Pomarance;PI;Pisano;85;43.33417;10.85806;no
TOS01005401;Ponte di Monterufoli;Guardistallo;PI;Pisano;33;43.32334;10.66982;no
TOS01005181;Pontedera;Pontedera;PI;Pisano;11;43.66533;10.63124;no
TOS02004311;Ripafratta;San Giuliano Terme;PI;Pisano;11;43.81886;10.41426;no
TOS01002231;Riparbella;Riparbella;PI;Pisano;230;43.36744;10.60223;no
TOS01005377;S. Dalmazio;Pomarance;PI;Pisano;247;43.25349;10.94357;no
TOS01005191;S. Giovanni alla Vena valle;Vicopisano;PI;Pisano;8;43.68459;10.58534;no
TOS03002001;S. Luce;Santa Luce;PI;Pisano;196;43.47238;10.56495;no
TOS01001491;S. Miniato (Cimitero);San Miniato;PI;Pisano;102;43.68403;10.83148;no
TOS11000045;S. Miniato Poggio al Pino;San Miniato;PI;Pisano;117;43.6795;10.89355;no
TOS11000010;Santermo;Casciana Terme Lari;PI;Pisano;210;43.53204;10.57835;no
TOS01002181;Sassa;Montecatini Val di Cecina;PI;Pisano;398;43.25796;10.69137;no
TOS11000063;Siberia;Crespina Lorenzana;PI;Pisano;41;43.59164;10.54375;no
TOS11000016;Terricciola;Terricciola;PI;Pisano;127;43.54182;10.64948;no
TOS02004365;Vecchiano;Vecchiano;PI;Pisano;6;43.78051;10.39889;no
TOS03001665;Volterra Balze;Volterra;PI;Pisano;450;43.4126;10.85101;no
TOS01000811;Badia Agnano;Bucine;AR;Pratomagno-Valdarno;261;43.43639;11.64879;no
TOS11000516;Casa Rota;Terranuova Bracciolini;AR;Pratomagno-Valdarno;200;43.58551;11.54329;no
TOS11000083;Castiglion Fibocchi;Castiglion Fibocchi;AR;Pratomagno-Valdarno;283;43.5338;11.74358;no
TOS01000891;Il Palagio;Figline e Incisa Valdarno;FI;Pratomagno-Valdarno;315;43.61266;11.42722;no
TOS01004591;Incisa Valle;Figline e Incisa Valdarno;FI;Pratomagno-Valdarno;109;43.68985;11.45619;no
TOS01004571;Montevarchi;Montevarchi;AR;Pratomagno-Valdarno;134;43.54121;11.56621;no
TOS01000881;Pian di Scò;Castelfranco Piandiscò;AR;Pratomagno-Valdarno;395;43.64996;11.55515;no
TOS11000078;Pratomagno;Loro Ciuffenna;AR;Pratomagno-Valdarno;695;43.56953;11.72422;no
TOS03000855;Trappola;Loro Ciuffena;AR;Pratomagno-Valdarno;869;43.61899;11.65264;no
TOS01000901;Vallombrosa;Reggello;FI;Pratomagno-Valdarno;980;43.73137;11.55682;no
TOS01000861;Villa dell�Olio;Loro Ciuffenna;AR;Pratomagno-Valdarno;300;43.59143;11.60408;no
TOS01002085;Anqua;Radicondoli;SI;Senese;440;43.21524;10.98731;no
TOS01000721;Bettolle;Sinalunga;SI;Senese;292;43.20291;11.8035;no
TOS03001286;Castellina in Chianti;Castellina in Chianti;SI;Senese;572;43.47316;11.28843;no
TOS11000019;Castelnuovo B.ga;Gaiole in Chianti;SI;Senese;300;43.36973;11.4232;no
TOS11000087;Gaiole in Chianti;Gaiole in Chianti;SI;Senese;360;43.45651;11.42151;no
TOS03002643;Madonna a Brolio;Castelnuovo Berardenga;SI;Senese;440;43.41447;11.45572;no
TOS03001385;Mensano;Casole d'Elsa;SI;Senese;365;43.29138;11.07115;no
TOS03002613;Monastero d�Ombrone;Castelnuovo Berardenga;SI;Senese;222;43.32916;11.55552;no
TOS03002733;Montalcinello;Chiusdino;SI;Senese;380;43.20311;11.07662;no
TOS03002621;Monte Oliveto;Asciano;SI;Senese;267;43.17548;11.54547;no
TOS03000691;Montepulciano;Montepulciano;SI;Senese;450;43.11273;11.7937;no
TOS11000113;Montepulciano Azienda;Montepulciano;SI;Senese;335;43.08509;11.84443;no
TOS11000082;Monteroni Arbia Biena;Monteroni d'Arbia;SI;Senese;165;43.24301;11.41689;no
TOS03002742;Monticiano La Pineta;Monticiano;SI;Senese;450;43.13437;11.24202;no
TOS03002888;Montisi;Montalcino;SI;Senese;400;43.15473;11.64975;no
TOS01000831;Nusenna in Chianti;Gaiole in Chianti;SI;Senese;560;43.45035;11.53126;no
TOS11000080;Pentolina;Chiusdino;SI;Senese;450;43.2085;11.1799;no
TOS01004965;Poggibonsi;Poggibonsi;SI;Senese;88;43.47146;11.12876;no
TOS03005707;Ponte Orgia;Sovicille;SI;Senese;0;43.21465;11.25811;no
TOS01001284;Radda in Chianti;Radda in Chianti;SI;Senese;495;43.48603;11.37911;no
TOS03000715;Rigomagno;Sinalunga;SI;Senese;395;43.26259;11.69526;no
TOS01001419;S. Gimignano;San Gimignano;SI;Senese;306;43.47136;11.04129;no
TOS11000025;Scorgiano;Monteriggioni;SI;Senese;233;43.36627;11.15143;no
TOS01002661;Siena Poggio al Vento;Siena;SI;Senese;348;43.32045;11.31259;no
TOS01001379;Simignano;Sovicille;SI;Senese;420;43.29205;11.16723;no
TOS03002761;Sovicille;Sovicille;SI;Senese;260;43.27629;11.22986;no
TOS03002640;Vagliagli;Castelnuovo Berardenga;SI;Senese;524;43.42074;11.34593;no
